target_id	length	eff_length	est_counts	tpm
GCF_000006625.1_ASM662v1	751719	751451	0	0
GCF_000007585.1_ASM758v1	2343476	2.34321e+06	20.6422	1.86577
GCF_000009925.1_ASM992v1	5311000	5.31073e+06	22722.8	906.192
GCF_000010505.1_ASM1050v1	2354886	2.35462e+06	28.5391	2.56704
GCF_000011045.1_ASM1104v1	3005051	3.00478e+06	2634.04	185.662
GCF_000011065.1_ASM1106v1	6293409	6.29314e+06	104210	3507.15
GCF_000012845.1_ASM1284v1	4811379	4.81111e+06	4379.34	192.786
GCF_000015325.1_ASM1532v1	5352772	5.3525e+06	0	0
GCF_000018685.1_ASM1868v1	4847594	4.84733e+06	0	0
GCF_000020225.1_ASM2022v1	2664102	2.66383e+06	7999.72	636.035
GCF_000020605.1_ASM2060v1	3449685	3.44942e+06	0	0
GCF_000022065.1_ASM2206v1	4068724	4.06846e+06	2.00028	0.104129
GCF_000026525.1_ASM2652v1	3033116	3.03285e+06	0	0
GCF_000055945.1_ASM5594v1	1719044	1.71878e+06	0	0
GCF_000091345.1_ASM9134v1	1576758	1.57649e+06	0	0
GCF_000091405.1_ASM9140v1	1785136	1.78487e+06	1.00087	0.118764
GCF_000142965.1_ASM14296v1	3323183	3.32292e+06	32.4439	2.06789
GCF_000144405.1_ASM14440v1	3168292	3.16802e+06	0	0
GCF_000144625.1_ASM14462v1	4662871	4.6626e+06	0	0
GCF_000145035.1_ASM14503v1	4404997	4.40473e+06	0	0
GCF_000153905.1_ASM15390v1	3625318	3.62505e+06	81761.8	4776.94
GCF_000153925.1_ASM15392v1	2740036	2.73977e+06	87.1671	6.73833
GCF_000154065.1_ASM15406v1	2914343	2.91408e+06	3.11958	0.22673
GCF_000154105.1_ASM15410v1	4433047	4.43278e+06	55.7355	2.66299
GCF_000154125.1_ASM15412v1	6463699	6.46343e+06	5132.24	168.173
GCF_000154205.1_ASM15420v1	4717977	4.71771e+06	3.7495	0.168328
GCF_000154305.1_ASM15430v1	3606016	3.60575e+06	7.25373	0.426068
GCF_000154345.1_ASM15434v1	3270319	3.27005e+06	0	0
GCF_000154365.1_ASM15436v1	6557758	6.55749e+06	2.1313	0.0688369
GCF_000154385.1_ASM15438v1	3127263	3.127e+06	0	0
GCF_000154425.1_ASM15442v1	3102397	3.10213e+06	1.04354	0.0712465
GCF_000154465.1_ASM15446v1	2550068	2.5498e+06	2425.16	201.441
GCF_000154505.1_ASM15450v1	3620575	3.62031e+06	14.7638	0.863709
GCF_000154565.1_ASM15456v1	3719238	3.71897e+06	6.49306	0.369777
GCF_000154825.1_ASM15482v1	2284653	2.28439e+06	0	0
GCF_000155205.1_ASM15520v1	2730345	2.73008e+06	1.00129	0.0776783
GCF_000155815.1_ASM15581v1	4158670	4.1584e+06	7784.62	396.483
GCF_000155875.1_ASM15587v1	3239365	3.2391e+06	1.00377	0.0656334
GCF_000155915.2_Lacto_jensenii_1153_V2	1737966	1.7377e+06	4.0248	0.490551
GCF_000156015.1_ASM15601v1	2483291	2.48302e+06	0	0
GCF_000156035.2_ASM15603v2	3864166	3.8639e+06	16.6347	0.911806
GCF_000156075.1_ASM15607v1	5489043	5.48878e+06	82.2754	3.17474
GCF_000156175.1_ASM15617v1	1804837	1.80457e+06	0	0
GCF_000156495.1_ASM15649v1	4617498	4.61723e+06	2.34741	0.107676
GCF_000156515.1_ASM15651v1	3887119	3.88685e+06	0	0
GCF_000156535.1_ASM15653v1	4384755	4.38449e+06	0	0
GCF_000156655.1_ASM15665v1	2417520	2.41725e+06	1.00035	0.0876487
GCF_000156675.1_ASM15667v1	3053841	3.05357e+06	116.598	8.08714
GCF_000157015.1_ASM15701v1	5487279	5.48701e+06	193.728	7.47773
GCF_000157035.2_Bacteroides_sp_2_1_7_V2	5163602	5.16333e+06	372.04	15.2607
GCF_000157075.2_Bact_sp_9_1_42FAA_V2	5614858	5.61459e+06	213.119	8.03928
GCF_000157095.2_Bacteroides_sp_D1_V2	5965949	5.96568e+06	149.394	5.30381
GCF_000157915.1_ASM15791v1	3858283	3.85802e+06	6.30549	0.346153
GCF_000157935.1_ASM15793v1	3508593	3.50833e+06	1.00369	0.0605918
GCF_000157955.1_ASM15795v1	3238371	3.2381e+06	44.2075	2.89147
GCF_000157975.1_ASM15797v1	3567748	3.56748e+06	1.09763	0.0651641
GCF_000157995.1_ASM15799v1	3806625	3.80636e+06	3.26909	0.181899
GCF_000158075.1_ASM15807v1	6230781	6.23051e+06	0	0
GCF_000158335.2_Bact_dorei_5_1_36_D4_V2	5535188	5.53492e+06	110.277	4.21975
GCF_000158515.2_Bacteroides_sp_4_3_47FAA_V2	5431515	5.43125e+06	166.784	6.50381
GCF_000158555.2_Erys_bact_D7_V2	3516300	3.51603e+06	0	0
GCF_000158655.1_ASM15865v1	3407776	3.40751e+06	0	0
GCF_000159215.1_ASM15921v1	1798398	1.79813e+06	1.00206	0.118029
GCF_000159615.1_ASM15961v1	2035025	2.03476e+06	1868.37	194.475
GCF_000159875.2_Bact_sp_1_1_6_V2	6753495	6.75323e+06	12896	404.442
GCF_000159995.1_ASM15999v1	2583249	2.58298e+06	15.0825	1.23671
GCF_000160035.2_ASM16003v2	3477654	3.47739e+06	0	0
GCF_000160075.2_ASM16007v2	2042029	2.04176e+06	0	0
GCF_000160095.1_ASM16009v1	6639163	6.6389e+06	0	0
GCF_000160115.1_ASM16011v1	2169067	2.1688e+06	0	0
GCF_000160135.1_ASM16013v1	2673424	2.67316e+06	0	0
GCF_000160635.1_ASM16063v1	2631262	2.63099e+06	0	0
GCF_000160675.1_ASM16067v1	1923388	1.92312e+06	0	0
GCF_000162015.1_ASM16201v1	3081989	3.08172e+06	9.21016	0.632977
GCF_000162135.1_ASM16213v1	5210327	5.21006e+06	4764.09	193.665
GCF_000162175.1_ASM16217v1	4892396	4.89213e+06	24265.9	1050.54
GCF_000162215.1_ASM16221v1	4453133	4.45287e+06	0	0
GCF_000162275.1_ASM16227v1	5327964	5.3277e+06	87.2324	3.46778
GCF_000162415.1_ASM16241v1	3996612	3.99634e+06	3.01216	0.159635
GCF_000162455.1_ASM16245v1	3300637	3.30037e+06	8.42966	0.540955
GCF_000162535.1_ASM16253v1	5723459	5.72319e+06	169.224	6.26233
GCF_000163055.2_ASM16305v2	2480279	2.48001e+06	0	0
GCF_000163655.1_ASM16365v1	5228876	5.22861e+06	64.7689	2.62358
GCF_000165775.1_ASM16577v3	2129233	2.12897e+06	84.5805	8.41425
GCF_000166035.1_ASM16603v1	2929041	2.92877e+06	0	0
GCF_000174895.1_ASM17489v1	4575190	4.57492e+06	0	0
GCF_000177015.3_Rumi_bact_D16_V2	3197225	3.19696e+06	0	0
GCF_000178115.2_ASM17811v2	3008576	3.00831e+06	0	0
GCF_000178835.2_ASM17883v2	4714237	4.71397e+06	0	0
GCF_000179595.2_ASM17959v2	6147681	6.14741e+06	0	0
GCF_000184945.1_ASM18494v1	3223504	3.22324e+06	5.42936	0.356755
GCF_000185385.1_ASM18538v1	2971978	2.97171e+06	0	0
