target_id	length	eff_length	est_counts	tpm
GCF_000006625.1_ASM662v1	751719	751451	0	0
GCF_000007585.1_ASM758v1	2343476	2.34321e+06	98.2343	6.94737
GCF_000009925.1_ASM992v1	5311000	5.31073e+06	4821.23	150.443
GCF_000010505.1_ASM1050v1	2354886	2.35462e+06	24.9305	1.7546
GCF_000011045.1_ASM1104v1	3005051	3.00478e+06	22365.2	1233.47
GCF_000011065.1_ASM1106v1	6293409	6.29314e+06	0	0
GCF_000012845.1_ASM1284v1	4811379	4.81111e+06	0	0
GCF_000015325.1_ASM1532v1	5352772	5.3525e+06	0	0
GCF_000018685.1_ASM1868v1	4847594	4.84733e+06	0	0
GCF_000020225.1_ASM2022v1	2664102	2.66383e+06	11.4898	0.714779
GCF_000020605.1_ASM2060v1	3449685	3.44942e+06	23725.4	1139.82
GCF_000022065.1_ASM2206v1	4068724	4.06846e+06	1.00028	0.0407436
GCF_000026525.1_ASM2652v1	3033116	3.03285e+06	4270.72	233.356
GCF_000055945.1_ASM5594v1	1719044	1.71878e+06	0	0
GCF_000091345.1_ASM9134v1	1576758	1.57649e+06	0	0
GCF_000091405.1_ASM9140v1	1785136	1.78487e+06	2627.49	243.951
GCF_000142965.1_ASM14296v1	3323183	3.32291e+06	0	0
GCF_000144405.1_ASM14440v1	3168292	3.16802e+06	0	0
GCF_000144625.1_ASM14462v1	4662871	4.6626e+06	0	0
GCF_000145035.1_ASM14503v1	4404997	4.40473e+06	0	0
GCF_000153905.1_ASM15390v1	3625318	3.62505e+06	2.02662	0.092646
GCF_000153925.1_ASM15392v1	2740036	2.73977e+06	34791	2104.37
GCF_000154065.1_ASM15406v1	2914343	2.91407e+06	1.00796	0.0573203
GCF_000154105.1_ASM15410v1	4433047	4.43278e+06	0	0
GCF_000154125.1_ASM15412v1	6463699	6.46343e+06	311.146	7.97754
GCF_000154205.1_ASM15420v1	4717977	4.71771e+06	0	0
GCF_000154305.1_ASM15430v1	3606016	3.60575e+06	37.6973	1.73254
GCF_000154345.1_ASM15434v1	3270319	3.27005e+06	3866.95	195.966
GCF_000154365.1_ASM15436v1	6557758	6.55749e+06	3.94796	0.0997708
GCF_000154385.1_ASM15438v1	3127263	3.12699e+06	13898.5	736.563
GCF_000154425.1_ASM15442v1	3102397	3.10213e+06	0	0
GCF_000154465.1_ASM15446v1	2550068	2.5498e+06	0	0
GCF_000154505.1_ASM15450v1	3620575	3.62031e+06	12649.3	579.012
GCF_000154565.1_ASM15456v1	3719238	3.71897e+06	2.02643	0.0902977
GCF_000154825.1_ASM15482v1	2284653	2.28438e+06	21650	1570.57
GCF_000155205.1_ASM15520v1	2730345	2.73008e+06	1.61889	0.0982677
GCF_000155815.1_ASM15581v1	4158670	4.1584e+06	0	0
