target_id	length	eff_length	est_counts	tpm
GCF_000006625.1_ASM662v1	751719	751451	0	0
GCF_000007585.1_ASM758v1	2343476	2.34321e+06	53019.1	5780.08
GCF_000009925.1_ASM992v1	5311000	5.31073e+06	2665.17	128.198
GCF_000010505.1_ASM1050v1	2354886	2.35462e+06	5336.81	578.993
GCF_000011045.1_ASM1104v1	3005051	3.00478e+06	3675.21	312.451
GCF_000011065.1_ASM1106v1	6293409	6.29314e+06	2.16093	0.0877172
GCF_000012845.1_ASM1284v1	4811379	4.81111e+06	42.9095	2.27835
GCF_000015325.1_ASM1532v1	5352772	5.3525e+06	0	0
GCF_000018685.1_ASM1868v1	4847594	4.84733e+06	0	0
GCF_000020225.1_ASM2022v1	2664102	2.66383e+06	0	0
GCF_000020605.1_ASM2060v1	3449685	3.44942e+06	1.00571	0.0744799
GCF_000022065.1_ASM2206v1	4068724	4.06846e+06	5096.81	320.023
GCF_000026525.1_ASM2652v1	3033116	3.03285e+06	9.9404	0.837271
GCF_000055945.1_ASM5594v1	1719044	1.71878e+06	0	0
GCF_000091345.1_ASM9134v1	1576758	1.57649e+06	1.00794	0.163327
GCF_000091405.1_ASM9140v1	1785136	1.78487e+06	6.2938	0.900781
GCF_000142965.1_ASM14296v1	3323183	3.32292e+06	4.43223e+06	340734
GCF_000144405.1_ASM14440v1	3168292	3.16802e+06	3.82231	0.308212
GCF_000144625.1_ASM14462v1	4662871	4.6626e+06	0	0
GCF_000145035.1_ASM14503v1	4404997	4.40473e+06	0	0
GCF_000153905.1_ASM15390v1	3625318	3.62505e+06	1.05319	0.0742175
GCF_000153925.1_ASM15392v1	2740036	2.73977e+06	0	0
GCF_000154065.1_ASM15406v1	2914343	2.91408e+06	2.01643	0.176765
GCF_000154105.1_ASM15410v1	4433047	4.43278e+06	7.28158	0.419626
GCF_000154125.1_ASM15412v1	6463699	6.46343e+06	711.149	28.1067
GCF_000154205.1_ASM15420v1	4717977	4.71771e+06	64.0378	3.46751
GCF_000154305.1_ASM15430v1	3606016	3.60575e+06	8.73783	0.619043
GCF_000154345.1_ASM15434v1	3270319	3.27005e+06	0	0
